GENE	SYMBOL	GE
ENSDARG00000006747	tmem178b	Gene Expression
ENSDARG00000104852	si:ch211-142b24.8	Gene Expression
ENSDARG00000094980	CR792454.1	Gene Expression
ENSDARG00000056938	kera	Gene Expression
ENSDARG00000001912	drd4-rs	Gene Expression
ENSDARG00000014572	chpt1	Gene Expression
ENSDARG00000056950	epyc	Gene Expression
ENSDARG00000104412	si:dkey-72l17.5	Gene Expression
ENSDARG00000032639	cd36	Gene Expression
ENSDARG00000103346	si:dkeyp-85d8.5	Gene Expression
ENSDARG00000033296	gpr37b	Gene Expression
ENSDARG00000045878	nudt4b	Gene Expression
ENSDARG00000098519	BX321870.1	Gene Expression
ENSDARG00000100164	si:dkey-16p6.1	Gene Expression
ENSDARG00000056954	si:dkeyp-38g8.5	Gene Expression
ENSDARG00000089142	zgc:113119	Gene Expression
ENSDARG00000045877	ube2nb	Gene Expression
ENSDARG00000098406	si:dkey-22a18.2	Gene Expression
ENSDARG00000077205	zgc:153116	Gene Expression
ENSDARG00000029105	ftr51	Gene Expression
ENSDARG00000006283	waslb	Gene Expression
ENSDARG00000068701	gpr85	Gene Expression
ENSDARG00000097967	BX950217.1	Gene Expression
ENSDARG00000110658	zgc:174696	Gene Expression
ENSDARG00000069292	acot16	Gene Expression
ENSDARG00000103441	znf1060	Gene Expression
ENSDARG00000101475	BX649328.2	Gene Expression
ENSDARG00000045541	gcc1	Gene Expression
ENSDARG00000045542	lamtor4	Gene Expression
ENSDARG00000045543	atp6v1f	Gene Expression
ENSDARG00000103689	znf1148	Gene Expression
ENSDARG00000105173	si:ch211-142b24.2	Gene Expression
ENSDARG00000068705	tmem168a	Gene Expression
ENSDARG00000045680	tnpo3	Gene Expression
ENSDARG00000012435	spic	Gene Expression
ENSDARG00000087438	spi2	Gene Expression
ENSDARG00000097601	CT868708.1	Gene Expression
ENSDARG00000016886	dnajb9b	Gene Expression
ENSDARG00000102008	si:dkey-72l17.6	Gene Expression
ENSDARG00000045560	mybpc1	Gene Expression
ENSDARG00000075731	zgc:174698	Gene Expression
ENSDARG00000007639	cnot4b	Gene Expression
ENSDARG00000039681	samm50l	Gene Expression
ENSDARG00000011605	dennd6b	Gene Expression
ENSDARG00000045864	lmod2b	Gene Expression
ENSDARG00000113510	si:ch211-59d8.2	Gene Expression
ENSDARG00000109251	si:dkey-4e4.1	Gene Expression
ENSDARG00000063299	pcloa	Gene Expression
ENSDARG00000098390	si:ch211-76m11.8	Gene Expression
ENSDARG00000079391	mrpl42	Gene Expression
ENSDARG00000045913	mrps10	Gene Expression
ENSDARG00000109740	si:dkeyp-44b5.4	Gene Expression
ENSDARG00000105244	BX649431.3	Gene Expression
ENSDARG00000101046	si:dkeyp-107f9.1	Gene Expression
ENSDARG00000070015	pimr173	Gene Expression
ENSDARG00000100112	znf1118	Gene Expression
ENSDARG00000073915	znf1085	Gene Expression
ENSDARG00000095293	si:dkey-265e7.1	Gene Expression
ENSDARG00000045863	asb15b	Gene Expression
ENSDARG00000091746	si:dkey-16p6.1	Gene Expression
ENSDARG00000021647	gnai1	Gene Expression
ENSDARG00000057974	parp12b	Gene Expression
ENSDARG00000100995	si:dkey-16b10.1	Gene Expression
ENSDARG00000102994	znf1034	Gene Expression
ENSDARG00000101829	si:dkey-16b10.2	Gene Expression
ENSDARG00000104351	CR318589.1	Gene Expression
ENSDARG00000063008	si:dkeyp-27e10.3	Gene Expression
ENSDARG00000093470	CT009596.1	Gene Expression
ENSDARG00000068708	ifrd1	Gene Expression
ENSDARG00000015921	pwp1	Gene Expression
ENSDARG00000045681	irf5	Gene Expression
ENSDARG00000045594	shisal1a	Gene Expression
ENSDARG00000045911	tulp4a	Gene Expression
ENSDARG00000045540	ppp6r2a	Gene Expression
ENSDARG00000045595	si:dkey-14k9.3	Gene Expression
ENSDARG00000102659	si:dkeyp-107f9.2	Gene Expression
ENSDARG00000105162	CR293509.1	Gene Expression
ENSDARG00000088524	acot17	Gene Expression
ENSDARG00000063481	si:ch211-214j24.15	Gene Expression
ENSDARG00000045847	si:ch211-214j24.10	Gene Expression
ENSDARG00000104468	si:dkeyp-107f9.4	Gene Expression
ENSDARG00000105137	zgc:173705	Gene Expression
ENSDARG00000100387	si:dkey-78o7.3	Gene Expression
ENSDARG00000100855	BX640584.1	Gene Expression
ENSDARG00000105306	si:dkeyp-44b5.5	Gene Expression
ENSDARG00000088245	si:dkey-16p6.1	Gene Expression
ENSDARG00000089814	znf1042	Gene Expression
ENSDARG00000096499	BX324003.1	Gene Expression
ENSDARG00000070230	aldh1l2	Gene Expression
ENSDARG00000098514	si:ch211-59d8.3	Gene Expression
ENSDARG00000006215	akr1b1.1	Gene Expression
ENSDARG00000016691	cd9b	Gene Expression
ENSDARG00000041665	mkrn1	Gene Expression
ENSDARG00000098515	si:dkey-16p6.1	Gene Expression
ENSDARG00000045598	akr1b1.2	Gene Expression
ENSDARG00000087319	tmem121b	Gene Expression
ENSDARG00000098270	znf1053	Gene Expression
ENSDARG00000096458	si:dkey-26h11.2	Gene Expression
ENSDARG00000096437	si:dkey-26h11.1	Gene Expression
ENSDARG00000016010	nup107	Gene Expression
ENSDARG00000045910	tmem181	Gene Expression
ENSDARG00000043796	ms4a17a.7	Gene Expression
ENSDARG00000091970	ms4a17a.3	Gene Expression
ENSDARG00000089304	si:dkeyp-4f2.1	Gene Expression
ENSDARG00000045683	ccdc87	Gene Expression
ENSDARG00000007018	ms4a17a.6	Gene Expression
ENSDARG00000045846	osgep	Gene Expression
ENSDARG00000024874	dock4b	Gene Expression
ENSDARG00000095695	ms4a17a.10	Gene Expression
ENSDARG00000086650	ttc41	Gene Expression
ENSDARG00000092775	BX640547.1	Gene Expression
ENSDARG00000056152	fam3c	Gene Expression
ENSDARG00000053563	ms4a17a.12	Gene Expression
ENSDARG00000014024	ms4a17a.4	Gene Expression
ENSDARG00000098879	si:dkey-4j21.2	Gene Expression
ENSDARG00000045580	lum	Gene Expression
ENSDARG00000099520	CU571163.1	Gene Expression
ENSDARG00000058244	il17ra1a	Gene Expression
ENSDARG00000095997	znf1112	Gene Expression
ENSDARG00000093546	si:ch73-56d11.5	Gene Expression
ENSDARG00000095596	si:dkeyp-4f2.6	Gene Expression
ENSDARG00000056145	si:dkey-159a18.1	Gene Expression
ENSDARG00000003822	ankrd16	Gene Expression
ENSDARG00000078745	pnpla8	Gene Expression
ENSDARG00000045909	dynlt1	Gene Expression
ENSDARG00000105458	si:dkeyp-81f3.4	Gene Expression
ENSDARG00000097527	ms4a17a.5	Gene Expression
ENSDARG00000094484	si:ch211-162i8.4	Gene Expression
ENSDARG00000094308	si:dkey-247i3.6	Gene Expression
ENSDARG00000096226	znf1072	Gene Expression
ENSDARG00000096186	si:dkey-247i3.5	Gene Expression
ENSDARG00000096189	si:dkey-54j5.2	Gene Expression
ENSDARG00000088378	znf1000	Gene Expression
ENSDARG00000012066	dcn	Gene Expression
ENSDARG00000062983	fbxo18	Gene Expression
ENSDARG00000099099	CABZ01015815.1	Gene Expression
ENSDARG00000105694	CABZ01015815.3	Gene Expression
ENSDARG00000105800	CABZ01015815.5	Gene Expression
ENSDARG00000105672	CABZ01015815.2	Gene Expression
ENSDARG00000105743	CABZ01015815.4	Gene Expression
ENSDARG00000057942	glt8d2	Gene Expression
ENSDARG00000017366	prdm4	Gene Expression
ENSDARG00000086449	znf1055	Gene Expression
ENSDARG00000025073	rpl18a	Gene Expression
ENSDARG00000003570	hsp90b1	Gene Expression
ENSDARG00000096011	si:dkeyp-4f2.3	Gene Expression
ENSDARG00000106998	si:dkey-240n22.6	Gene Expression
ENSDARG00000077926	si:dkey-48p11.3	Gene Expression
ENSDARG00000033413	acot18	Gene Expression
ENSDARG00000101292	si:dkey-201g16.1	Gene Expression
ENSDARG00000089296	si:dkey-240n22.6	Gene Expression
ENSDARG00000095521	znf1090	Gene Expression
ENSDARG00000104625	pimr168	Gene Expression
ENSDARG00000101236	cep83	Gene Expression
ENSDARG00000061544	ano6	Gene Expression
ENSDARG00000074873	pimr170	Gene Expression
ENSDARG00000103365	pimr214	Gene Expression
ENSDARG00000104584	si:dkeyp-4f2.3	Gene Expression
ENSDARG00000090366	znf1065	Gene Expression
ENSDARG00000095461	pimr171	Gene Expression
ENSDARG00000094017	znf1137	Gene Expression
ENSDARG00000076690	avpr2l	Gene Expression
ENSDARG00000076252	si:dkey-247i3.1	Gene Expression
ENSDARG00000101363	ano2b	Gene Expression
ENSDARG00000093165	si:dkey-16p6.2	Gene Expression
ENSDARG00000095042	CU468826.1	Gene Expression
ENSDARG00000103538	BX571954.2	Gene Expression
ENSDARG00000073881	slc41a2b	Gene Expression
ENSDARG00000100412	si:ch211-171l17.14	Gene Expression
ENSDARG00000020812	si:ch73-177h5.2	Gene Expression
ENSDARG00000088836	si:ch211-76m11.5	Gene Expression
ENSDARG00000037960	lrrc17	Gene Expression
ENSDARG00000094215	BX005417.1	Gene Expression
ENSDARG00000095013	si:dkey-240n22.3	Gene Expression
ENSDARG00000090947	si:dkey-29j8.1	Gene Expression
ENSDARG00000096188	CT027801.2	Gene Expression
ENSDARG00000096005	CT027801.1	Gene Expression
ENSDARG00000091013	si:dkey-84h14.2	Gene Expression
ENSDARG00000103872	si:dkey-84h14.4	Gene Expression
ENSDARG00000027249	btg1	Gene Expression
ENSDARG00000101296	si:ch211-170p16.1	Gene Expression
ENSDARG00000006396	nrcama	Gene Expression
ENSDARG00000005451	gdi2	Gene Expression
ENSDARG00000095951	BX890562.3	Gene Expression
ENSDARG00000093924	BX890562.2	Gene Expression
ENSDARG00000099076	CU467646.4	Gene Expression
ENSDARG00000092241	znf1009	Gene Expression
ENSDARG00000034375	chst11	Gene Expression
ENSDARG00000079698	asb13a.1	Gene Expression
ENSDARG00000102027	si:dkey-172k15.11	Gene Expression
ENSDARG00000099945	CU467646.5	Gene Expression
ENSDARG00000105689	znf1009	Gene Expression
ENSDARG00000101763	CU467646.6	Gene Expression
ENSDARG00000105831	znf1009	Gene Expression
ENSDARG00000095717	si:dkey-172k15.6	Gene Expression
ENSDARG00000096001	si:dkey-240n22.8	Gene Expression
ENSDARG00000021239	apaf1	Gene Expression
ENSDARG00000075090	CU467646.1	Gene Expression
ENSDARG00000098610	si:ch211-207e19.2	Gene Expression
ENSDARG00000104678	CU467646.7	Gene Expression
ENSDARG00000102480	BX005417.2	Gene Expression
ENSDARG00000105712	CU467646.8	Gene Expression
ENSDARG00000095696	trpm2	Gene Expression
ENSDARG00000045481	gsap	Gene Expression
ENSDARG00000004794	ccdc146	Gene Expression
ENSDARG00000045482	stk38l	Gene Expression
ENSDARG00000076476	zgc:173770	Gene Expression
ENSDARG00000099870	tnni4a	Gene Expression
ENSDARG00000021590	magi2a	Gene Expression
ENSDARG00000095486	CU467646.3	Gene Expression
ENSDARG00000094558	si:dkeyp-53e4.1	Gene Expression
ENSDARG00000045843	apex1	Gene Expression
ENSDARG00000096000	si:dkey-29j8.2	Gene Expression
ENSDARG00000022424	slc26a5	Gene Expression
ENSDARG00000031737	pthlha	Gene Expression
ENSDARG00000019861	fgl2a	Gene Expression
ENSDARG00000087293	si:dkey-84h14.1	Gene Expression
ENSDARG00000017163	sinup	Gene Expression
ENSDARG00000059043	ntf3	Gene Expression
ENSDARG00000095993	znf1073	Gene Expression
ENSDARG00000103310	znf1053	Gene Expression
ENSDARG00000039185	nfyba	Gene Expression
ENSDARG00000102635	znf1037	Gene Expression
ENSDARG00000020101	psmc2	Gene Expression
ENSDARG00000090461	si:ch211-197f20.1	Gene Expression
ENSDARG00000099652	xpot	Gene Expression
ENSDARG00000095440	si:dkeyp-53e4.2	Gene Expression
ENSDARG00000020749	caprin2	Gene Expression
ENSDARG00000098177	si:dkey-28i19.3	Gene Expression
ENSDARG00000102595	si:dkey-250k10.1	Gene Expression
ENSDARG00000109604	znf1026	Gene Expression
ENSDARG00000100283	BX571843.1	Gene Expression
ENSDARG00000113192	si:dkey-29p23.2	Gene Expression
ENSDARG00000114935	si:dkeyp-53e4.4	Gene Expression
ENSDARG00000009262	ENSDARG00000009262	Gene Expression
ENSDARG00000087714	si:ch211-226o13.1	Gene Expression
ENSDARG00000075281	tbc1d30	Gene Expression
ENSDARG00000089875	zgc:173705	Gene Expression
ENSDARG00000113896	si:dkey-29p23.1	Gene Expression
ENSDARG00000068161	si:dkey-16p6.4	Gene Expression
ENSDARG00000101948	si:ch211-223g7.6	Gene Expression
ENSDARG00000099330	si:ch211-246b8.5	Gene Expression
ENSDARG00000105246	CT025695.1	Gene Expression
ENSDARG00000045493	slc35e3	Gene Expression
ENSDARG00000099751	si:dkey-250k10.4	Gene Expression
ENSDARG00000099432	si:ch211-246b8.1	Gene Expression
ENSDARG00000114938	CT025695.2	Gene Expression
ENSDARG00000045524	lamb1b	Gene Expression
ENSDARG00000103215	pimr169	Gene Expression
ENSDARG00000102941	si:ch211-249c2.1	Gene Expression
ENSDARG00000043781	psmb10	Gene Expression
ENSDARG00000097086	si:dkey-172k15.4	Gene Expression
ENSDARG00000097215	si:dkey-172k15.3	Gene Expression
ENSDARG00000058127	hcfc2	Gene Expression
ENSDARG00000094305	si:ch211-226o13.3	Gene Expression
ENSDARG00000087518	si:dkey-261p22.1	Gene Expression
ENSDARG00000045685	cntn1b	Gene Expression
ENSDARG00000045708	adm2a	Gene Expression
ENSDARG00000111465	znf1104	Gene Expression
ENSDARG00000070126	si:dkey-22l11.6	Gene Expression
ENSDARG00000045765	asb13a.2	Gene Expression
ENSDARG00000023766	gnsa	Gene Expression
ENSDARG00000105063	si:ch211-64i20.3	Gene Expression
ENSDARG00000097286	FP102892.1	Gene Expression
ENSDARG00000090355	pimr168	Gene Expression
ENSDARG00000099899	si:dkeyp-51g9.4	Gene Expression
ENSDARG00000032653	sinhcaf	Gene Expression
ENSDARG00000019396	rergla	Gene Expression
ENSDARG00000103992	si:ch211-237a4.2	Gene Expression
ENSDARG00000102904	si:ch211-246b8.2	Gene Expression
ENSDARG00000045842	zgc:113263	Gene Expression
ENSDARG00000095332	si:dkey-14d8.1	Gene Expression
ENSDARG00000102104	CU855889.1	Gene Expression
ENSDARG00000101047	rtcb	Gene Expression
ENSDARG00000018618	cpsf6	Gene Expression
ENSDARG00000003512	anks1b	Gene Expression
ENSDARG00000033443	mdm2	Gene Expression
ENSDARG00000003789	dennd5b	Gene Expression
ENSDARG00000096064	si:dkeyp-100h4.4	Gene Expression
ENSDARG00000100780	slco1e1	Gene Expression
ENSDARG00000113690	si:ch211-223g7.6	Gene Expression
ENSDARG00000062968	sbf1	Gene Expression
ENSDARG00000096067	si:dkeyp-100h4.7	Gene Expression
ENSDARG00000078167	si:dkeyp-100h4.1	Gene Expression
ENSDARG00000104108	slco1d1	Gene Expression
ENSDARG00000099825	zgc:174944	Gene Expression
ENSDARG00000096109	si:dkeyp-100h4.2	Gene Expression
ENSDARG00000045788	avpr1ab	Gene Expression
ENSDARG00000115094	CABZ01087415.1	Gene Expression
ENSDARG00000025046	AL935186.1	Gene Expression
ENSDARG00000032765	net1	Gene Expression
ENSDARG00000068857	gbp4	Gene Expression
ENSDARG00000045789	srgap1b	Gene Expression
ENSDARG00000013476	arhgef39	Gene Expression
ENSDARG00000102215	si:ch211-227e10.6	Gene Expression
ENSDARG00000099833	fbxo7	Gene Expression
ENSDARG00000103265	si:ch211-223g7.2	Gene Expression
ENSDARG00000068874	ENSDARG00000068874	Gene Expression
ENSDARG00000096726	hspa12a.2	Gene Expression
ENSDARG00000068869	hspa12a.1	Gene Expression
ENSDARG00000068865	si:dkey-61p9.7	Gene Expression
ENSDARG00000045525	tmcc3	Gene Expression
ENSDARG00000045483	lrtm2a	Gene Expression
ENSDARG00000099785	si:dkey-146m20.13	Gene Expression
ENSDARG00000092759	si:dkey-61p9.9	Gene Expression
ENSDARG00000097345	AL935186.3	Gene Expression
ENSDARG00000096762	si:dkey-61p9.11	Gene Expression
ENSDARG00000092471	si:dkey-7j22.1	Gene Expression
ENSDARG00000097091	si:dkey-7j22.2	Gene Expression
ENSDARG00000103870	CU855889.2	Gene Expression
ENSDARG00000088640	znf1115	Gene Expression
ENSDARG00000117156	si:dkey-7j22.4	Gene Expression
ENSDARG00000097393	BX897720.1	Gene Expression
ENSDARG00000039356	zgc:194209	Gene Expression
ENSDARG00000090192	si:dkey-16p6.1	Gene Expression
ENSDARG00000109466	si:dkeyp-77c4.5	Gene Expression
ENSDARG00000113564	znf1107	Gene Expression
ENSDARG00000096046	BX649307.1	Gene Expression
ENSDARG00000023026	pkp2	Gene Expression
ENSDARG00000116587	znf980	Gene Expression
ENSDARG00000045822	tnnt2e	Gene Expression
ENSDARG00000086296	znf1137	Gene Expression
ENSDARG00000045687	pdzrn4	Gene Expression
ENSDARG00000098615	BX901954.1	Gene Expression
ENSDARG00000109358	trhde.2	Gene Expression
ENSDARG00000045900	agbl5	Gene Expression
ENSDARG00000042469	ndufa12	Gene Expression
ENSDARG00000095275	si:dkey-269p2.1	Gene Expression
ENSDARG00000096118	ost4	Gene Expression
ENSDARG00000113431	si:ch211-276i6.1	Gene Expression
ENSDARG00000100414	si:ch211-227e10.2	Gene Expression
ENSDARG00000026855	cacna2d4a	Gene Expression
ENSDARG00000104968	si:ch211-227e10.1	Gene Expression
ENSDARG00000015966	yaf2	Gene Expression
ENSDARG00000101459	si:dkey-279j5.1	Gene Expression
ENSDARG00000014395	selenoo2	Gene Expression
ENSDARG00000115299	si:ch211-227e10.3	Gene Expression
ENSDARG00000045790	ENSDARG00000045790	Gene Expression
ENSDARG00000059064	rassf3	Gene Expression
ENSDARG00000045691	zcrb1	Gene Expression
ENSDARG00000099725	FP236161.1	Gene Expression
ENSDARG00000045692	pphln1	Gene Expression
ENSDARG00000096208	si:dkeyp-100h4.8	Gene Expression
ENSDARG00000089852	si:dkey-51d8.1	Gene Expression
ENSDARG00000004497	tspan33a	Gene Expression
ENSDARG00000045527	nr2c1	Gene Expression
ENSDARG00000045874	yeats4	Gene Expression
ENSDARG00000045873	frs2a	Gene Expression
ENSDARG00000057468	kcnc2	Gene Expression
ENSDARG00000022550	gxylt1b	Gene Expression
ENSDARG00000008720	lmo3	Gene Expression
ENSDARG00000111837	trhde.2	Gene Expression
ENSDARG00000027316	tcp11l2	Gene Expression
ENSDARG00000078520	ikbip	Gene Expression
ENSDARG00000063563	creb3l2	Gene Expression
ENSDARG00000045484	dcp1b	Gene Expression
ENSDARG00000100654	si:dkey-207m2.4	Gene Expression
ENSDARG00000057929	naf1	Gene Expression
ENSDARG00000101992	si:dkey-238k10.3	Gene Expression
ENSDARG00000032405	ckap4	Gene Expression
ENSDARG00000097583	arfgap3	Gene Expression
ENSDARG00000004055	uhrf1bp1l	Gene Expression
ENSDARG00000016968	tmem214	Gene Expression
ENSDARG00000095159	BX649500.1	Gene Expression
ENSDARG00000093371	BX649476.1	Gene Expression
ENSDARG00000087206	cct2	Gene Expression
ENSDARG00000039302	terfa	Gene Expression
ENSDARG00000011769	cpm	Gene Expression
ENSDARG00000022795	golt1ba	Gene Expression
ENSDARG00000004904	gys2	Gene Expression
ENSDARG00000087597	si:dkey-51d8.3	Gene Expression
ENSDARG00000099493	CR847906.1	Gene Expression
ENSDARG00000039350	ssbp1	Gene Expression
ENSDARG00000095132	si:ch211-227e10.6	Gene Expression
ENSDARG00000101469	si:dkey-56m15.2	Gene Expression
ENSDARG00000096147	BX465862.4	Gene Expression
ENSDARG00000116197	si:dkeyp-4c4.2	Gene Expression
ENSDARG00000093461	si:dkey-56m15.6	Gene Expression
ENSDARG00000103420	si:dkey-56m15.5	Gene Expression
ENSDARG00000058159	ipo8	Gene Expression
ENSDARG00000097353	BX324164.3	Gene Expression
ENSDARG00000104262	si:dkey-56m15.3	Gene Expression
ENSDARG00000093058	ENSDARG00000093058	Gene Expression
ENSDARG00000097507	BX324164.4	Gene Expression
ENSDARG00000103281	si:dkey-56m15.9	Gene Expression
ENSDARG00000045837	si:dkey-14d8.20	Gene Expression
ENSDARG00000104380	si:dkey-238k10.2	Gene Expression
ENSDARG00000095099	BX649516.1	Gene Expression
